name	length	score	pvalue
S2C39419	3287	0.0935413542200952	0.346956099927237
S2C39644	2203	0.811744659767348	0.0405389245425918
S2C39700	3255	0.848721877382138	0.0217074945428086
S2C39730	2076	0.505614375138449	0.153465938533902
S2C39868	3851	0.94391852587749	0.00788260975018191
S2C40003	85760	0.238381310354615	0.195003638127577
S2C40188	2030	0.97286804710889	0.00227209311595647
S2C40257	2141	0.395694228705514	0.210826324391119
S2C40535	34623	0.988461515652181	0.00254668930390492
S2C40590	7644	0.667785276985857	0.0517826825127334
S2C40714	14999	0.982042349119031	0.0033955857385399
S2C40911	7586	0.973344339577993	0.00460829493087558
S2C40979	2004	0.930044599994831	0.0100051819667557
S2C41047	2210	0.915992299469226	0.0132738071511141
S2C41268	9165	0.905788155103626	0.0127334465195246
S2C41295	2303	0.0337318941746845	0.757643400964643
S2C41380	3336	0.950563751933073	0.0071549842347805
S2C41583	2035	0.0547208689714787	0.668673017897716
S2C41803	2606	0.581496514678633	0.119464264360027
S2C41808	2397	0.431819902050937	0.189779567106469
S2C41830	4510	0.894076729520158	0.0140674266310939
S2C42095	4051	0.638165824657292	0.0576036866359447
S2C42290	2348	0.68919239964557	0.077729501335353
S2C42291	2062	0.147604335102066	0.454737513453183
S2C42339	97354	0.959776632341666	0.00642735871937909
S2C42590	6398	0.990199992128138	0.00218287654620422
S2C42625	2317	0.310470406472601	0.270777693626181
S2C42648	3197	0.978470362561153	0.0037593984962406
S2C42667	2372	0.847546535718658	0.0304540200103639
S2C42795	2338	0.530911017277896	0.141228524733926
S2C42870	3289	0.378293364415275	0.127334465195246
S2C42939	2810	0.940251598765823	0.00773308885079922
S2C43018	2651	0.723667729167954	0.0678040419340694
S2C43233	2192	0.769151894296887	0.0530952286044565
S2C43493	2512	0.727201716087694	0.0668473711484036
S2C43607	2272	0.515682744434621	0.148642723322837
S2C43721	2206	0.393073801355268	0.21214174672141
S2C43771	2436	0.149912091650541	0.450990552875992
S2C43856	7164	0.822249420056363	0.0251030802813485
S2C43897	2083	0.196022698371948	0.385737633037031
S2C44242	97521	0.971701258777236	0.00472956585010914
S2C44359	2054	0.256262721052005	0.31936859728146
S2C44451	5337	0.999182426335699	0.000121270919233568
S2C44704	2664	0.480389352386988	0.164906126679157
S2C44745	2088	0.907357707952127	0.0149479810260294
S2C44761	4315	0.105691256106559	0.326097501819064
S2C44767	9492	0.90219820844243	0.0129759883579918
S2C44863	2329	0.542328712158662	0.135727667716347
S2C44961	2336	0.240442614551252	0.335911029616933
S2C45071	97486	0.976147778274412	0.00388066941547417
S2C45313	2398	0.46650205004004	0.171244070634193
S2C45508	2385	0.477934285452047	0.165982381313031
S2C45663	2632	0.181621277855808	0.405110216446765
S2C45700	7294	0.641041636672146	0.0573611447974776
S2C45766	2056	0.8672164947217	0.0251126081237294
S2C45869	3254	0.770703647430089	0.0329856900315304
S2C45888	2323	0.159786907561901	0.4370789652011
S2C45977	2815	0.869916652587134	0.0242356599035357
S2C46090	2047	0.460618954736203	0.174512695818551
S2C46379	8650	0.9036977952298	0.0129759883579918
S2C46629	3001	0.992212550874721	0.00194033470773708
S2C46646	2747	0.230245985353042	0.345836489018217
S2C46674	3690	0.160717406551901	0.259277225321368
S2C46675	3404	0.877861759765863	0.0167353868542324
S2C46746	18348	0.992601869162112	0.00194033470773708
S2C46759	2263	0.832632008991879	0.0349184836768047
S2C47360	3839	0.683880253000792	0.0488721804511278
S2C47377	32114	0.656175724911657	0.0543293718166384
S2C47446	5805	0.929917434479213	0.00982294445791899
S2C47931	22233	0.599036939995455	0.0665777346592287
S2C47950	2016	0.366418674196877	0.229162514449715
S2C47974	2778	0.920008334922413	0.0123171363654482
S2C47986	3440	0.977950085981376	0.0037593984962406
S2C48004	2316	0.267179195469238	0.309283692749233
S2C48039	2013	0.216637258836951	0.360066966954997
S2C48115	5082	0.213484403920035	0.212224108658744
S2C48499	2600	0.72834930911434	0.0664886196037788
